"esp_lambda"	"var_lambda"	"esp_ch"	"var_ch"
0.1	0.0625	0.5	0.01
5	0.0625	0.5	0.01
10	0.0625	0.5	0.01
100	0.0625	0.5	0.01
0.1	0.25	0.5	0.01
5	0.25	0.5	0.01
10	0.25	0.5	0.01
100	0.25	0.5	0.01
0.1	4	0.5	0.01
5	4	0.5	0.01
10	4	0.5	0.01
100	4	0.5	0.01
0.1	16	0.5	0.01
5	16	0.5	0.01
10	16	0.5	0.01
100	16	0.5	0.01
0.1	0.0625	2	0.01
5	0.0625	2	0.01
10	0.0625	2	0.01
100	0.0625	2	0.01
0.1	0.25	2	0.01
5	0.25	2	0.01
10	0.25	2	0.01
100	0.25	2	0.01
0.1	4	2	0.01
5	4	2	0.01
10	4	2	0.01
100	4	2	0.01
0.1	16	2	0.01
5	16	2	0.01
10	16	2	0.01
100	16	2	0.01
0.1	0.0625	5	0.01
5	0.0625	5	0.01
10	0.0625	5	0.01
100	0.0625	5	0.01
0.1	0.25	5	0.01
5	0.25	5	0.01
10	0.25	5	0.01
100	0.25	5	0.01
0.1	4	5	0.01
5	4	5	0.01
10	4	5	0.01
100	4	5	0.01
0.1	16	5	0.01
5	16	5	0.01
10	16	5	0.01
100	16	5	0.01
0.1	0.0625	10	0.01
5	0.0625	10	0.01
10	0.0625	10	0.01
100	0.0625	10	0.01
0.1	0.25	10	0.01
5	0.25	10	0.01
10	0.25	10	0.01
100	0.25	10	0.01
0.1	4	10	0.01
5	4	10	0.01
10	4	10	0.01
100	4	10	0.01
0.1	16	10	0.01
5	16	10	0.01
10	16	10	0.01
100	16	10	0.01
0.1	0.0625	0.5	0.0625
5	0.0625	0.5	0.0625
10	0.0625	0.5	0.0625
100	0.0625	0.5	0.0625
0.1	0.25	0.5	0.0625
5	0.25	0.5	0.0625
10	0.25	0.5	0.0625
100	0.25	0.5	0.0625
0.1	4	0.5	0.0625
5	4	0.5	0.0625
10	4	0.5	0.0625
100	4	0.5	0.0625
0.1	16	0.5	0.0625
5	16	0.5	0.0625
10	16	0.5	0.0625
100	16	0.5	0.0625
0.1	0.0625	2	0.0625
5	0.0625	2	0.0625
10	0.0625	2	0.0625
100	0.0625	2	0.0625
0.1	0.25	2	0.0625
5	0.25	2	0.0625
10	0.25	2	0.0625
100	0.25	2	0.0625
0.1	4	2	0.0625
5	4	2	0.0625
10	4	2	0.0625
100	4	2	0.0625
0.1	16	2	0.0625
5	16	2	0.0625
10	16	2	0.0625
100	16	2	0.0625
0.1	0.0625	5	0.0625
5	0.0625	5	0.0625
10	0.0625	5	0.0625
100	0.0625	5	0.0625
0.1	0.25	5	0.0625
5	0.25	5	0.0625
10	0.25	5	0.0625
100	0.25	5	0.0625
0.1	4	5	0.0625
5	4	5	0.0625
10	4	5	0.0625
100	4	5	0.0625
0.1	16	5	0.0625
5	16	5	0.0625
10	16	5	0.0625
100	16	5	0.0625
0.1	0.0625	10	0.0625
5	0.0625	10	0.0625
10	0.0625	10	0.0625
100	0.0625	10	0.0625
0.1	0.25	10	0.0625
5	0.25	10	0.0625
10	0.25	10	0.0625
100	0.25	10	0.0625
0.1	4	10	0.0625
5	4	10	0.0625
10	4	10	0.0625
100	4	10	0.0625
0.1	16	10	0.0625
5	16	10	0.0625
10	16	10	0.0625
100	16	10	0.0625
0.1	0.0625	0.5	0.25
5	0.0625	0.5	0.25
10	0.0625	0.5	0.25
100	0.0625	0.5	0.25
0.1	0.25	0.5	0.25
5	0.25	0.5	0.25
10	0.25	0.5	0.25
100	0.25	0.5	0.25
0.1	4	0.5	0.25
5	4	0.5	0.25
10	4	0.5	0.25
100	4	0.5	0.25
0.1	16	0.5	0.25
5	16	0.5	0.25
10	16	0.5	0.25
100	16	0.5	0.25
0.1	0.0625	2	0.25
5	0.0625	2	0.25
10	0.0625	2	0.25
100	0.0625	2	0.25
0.1	0.25	2	0.25
5	0.25	2	0.25
10	0.25	2	0.25
100	0.25	2	0.25
0.1	4	2	0.25
5	4	2	0.25
10	4	2	0.25
100	4	2	0.25
0.1	16	2	0.25
5	16	2	0.25
10	16	2	0.25
100	16	2	0.25
0.1	0.0625	5	0.25
5	0.0625	5	0.25
10	0.0625	5	0.25
100	0.0625	5	0.25
0.1	0.25	5	0.25
5	0.25	5	0.25
10	0.25	5	0.25
100	0.25	5	0.25
0.1	4	5	0.25
5	4	5	0.25
10	4	5	0.25
100	4	5	0.25
0.1	16	5	0.25
5	16	5	0.25
10	16	5	0.25
100	16	5	0.25
0.1	0.0625	10	0.25
5	0.0625	10	0.25
10	0.0625	10	0.25
100	0.0625	10	0.25
0.1	0.25	10	0.25
5	0.25	10	0.25
10	0.25	10	0.25
100	0.25	10	0.25
0.1	4	10	0.25
5	4	10	0.25
10	4	10	0.25
100	4	10	0.25
0.1	16	10	0.25
5	16	10	0.25
10	16	10	0.25
100	16	10	0.25
0.1	0.0625	0.5	1
5	0.0625	0.5	1
10	0.0625	0.5	1
100	0.0625	0.5	1
0.1	0.25	0.5	1
5	0.25	0.5	1
10	0.25	0.5	1
100	0.25	0.5	1
0.1	4	0.5	1
5	4	0.5	1
10	4	0.5	1
100	4	0.5	1
0.1	16	0.5	1
5	16	0.5	1
10	16	0.5	1
100	16	0.5	1
0.1	0.0625	2	1
5	0.0625	2	1
10	0.0625	2	1
100	0.0625	2	1
0.1	0.25	2	1
5	0.25	2	1
10	0.25	2	1
100	0.25	2	1
0.1	4	2	1
5	4	2	1
10	4	2	1
100	4	2	1
0.1	16	2	1
5	16	2	1
10	16	2	1
100	16	2	1
0.1	0.0625	5	1
5	0.0625	5	1
10	0.0625	5	1
100	0.0625	5	1
0.1	0.25	5	1
5	0.25	5	1
10	0.25	5	1
100	0.25	5	1
0.1	4	5	1
5	4	5	1
