"esp_lambda"	"var_lambda"	"esp_ch"	"var_ch"
1	0.0625	0.5	0.015625
5	1.5625	0.5	0.015625
10	6.25	0.5	0.015625
20	25	0.5	0.015625
1	0.25	0.5	0.015625
5	6.25	0.5	0.015625
10	25	0.5	0.015625
20	100	0.5	0.015625
1	0.5625	0.5	0.015625
5	14.0625	0.5	0.015625
10	56.25	0.5	0.015625
20	225	0.5	0.015625
1	1	0.5	0.015625
5	25	0.5	0.015625
10	100	0.5	0.015625
20	400	0.5	0.015625
1	0.0625	2	0.25
5	1.5625	2	0.25
10	6.25	2	0.25
20	25	2	0.25
1	0.25	2	0.25
5	6.25	2	0.25
10	25	2	0.25
20	100	2	0.25
1	0.5625	2	0.25
5	14.0625	2	0.25
10	56.25	2	0.25
20	225	2	0.25
1	1	2	0.25
5	25	2	0.25
10	100	2	0.25
20	400	2	0.25
1	0.0625	5	1.5625
5	1.5625	5	1.5625
10	6.25	5	1.5625
20	25	5	1.5625
1	0.25	5	1.5625
5	6.25	5	1.5625
10	25	5	1.5625
20	100	5	1.5625
1	0.5625	5	1.5625
5	14.0625	5	1.5625
10	56.25	5	1.5625
20	225	5	1.5625
1	1	5	1.5625
5	25	5	1.5625
10	100	5	1.5625
20	400	5	1.5625
1	0.0625	10	6.25
5	1.5625	10	6.25
10	6.25	10	6.25
20	25	10	6.25
1	0.25	10	6.25
5	6.25	10	6.25
10	25	10	6.25
20	100	10	6.25
1	0.5625	10	6.25
5	14.0625	10	6.25
10	56.25	10	6.25
20	225	10	6.25
1	1	10	6.25
5	25	10	6.25
10	100	10	6.25
20	400	10	6.25
1	0.0625	0.5	0.0625
5	1.5625	0.5	0.0625
10	6.25	0.5	0.0625
20	25	0.5	0.0625
1	0.25	0.5	0.0625
5	6.25	0.5	0.0625
10	25	0.5	0.0625
20	100	0.5	0.0625
1	0.5625	0.5	0.0625
5	14.0625	0.5	0.0625
10	56.25	0.5	0.0625
20	225	0.5	0.0625
1	1	0.5	0.0625
5	25	0.5	0.0625
10	100	0.5	0.0625
20	400	0.5	0.0625
1	0.0625	2	1
5	1.5625	2	1
10	6.25	2	1
20	25	2	1
1	0.25	2	1
5	6.25	2	1
10	25	2	1
20	100	2	1
1	0.5625	2	1
5	14.0625	2	1
10	56.25	2	1
20	225	2	1
1	1	2	1
5	25	2	1
10	100	2	1
20	400	2	1
1	0.0625	5	6.25
5	1.5625	5	6.25
10	6.25	5	6.25
20	25	5	6.25
1	0.25	5	6.25
5	6.25	5	6.25
10	25	5	6.25
20	100	5	6.25
1	0.5625	5	6.25
5	14.0625	5	6.25
10	56.25	5	6.25
20	225	5	6.25
1	1	5	6.25
5	25	5	6.25
10	100	5	6.25
20	400	5	6.25
1	0.0625	10	25
5	1.5625	10	25
10	6.25	10	25
20	25	10	25
1	0.25	10	25
5	6.25	10	25
10	25	10	25
20	100	10	25
1	0.5625	10	25
5	14.0625	10	25
10	56.25	10	25
20	225	10	25
1	1	10	25
5	25	10	25
10	100	10	25
20	400	10	25
1	0.0625	0.5	0.140625
5	1.5625	0.5	0.140625
10	6.25	0.5	0.140625
20	25	0.5	0.140625
1	0.25	0.5	0.140625
5	6.25	0.5	0.140625
10	25	0.5	0.140625
20	100	0.5	0.140625
1	0.5625	0.5	0.140625
5	14.0625	0.5	0.140625
10	56.25	0.5	0.140625
20	225	0.5	0.140625
